Actual,Forecast,Uncertainty_Sigma,Safety_Stock_95CI,Current_Price,Rolling_Avg_Price,Hedging_Factor,Final_Order_Quantity
0.291741,0.29889322159679155,0.00406215249493009,0.007961818890062977,7949.5,8492.433333333334,1.05,0.3221977925111973
0.294658,0.2958613451829595,0.0027428056800591475,0.005375899132915929,8820.7,8492.433333333334,1.0,0.3012372443158754
0.297605,0.2919518389921119,0.002304660999408925,0.004517135558841493,8707.1,8492.433333333334,1.0,0.2964689745509534
0.300581,0.2988540281738445,0.0010538789411745143,0.002065602724702048,8416.7,8648.166666666666,1.0,0.30091963089854656
0.303586,0.3019182229355936,0.0005981948522019978,0.0011724619103159156,7633.8,8252.533333333335,1.05,0.318245219088205
0.306622,0.30517979091119757,0.0007557892996299596,0.0014813470272747207,8075.8,8042.100000000001,1.0,0.3066611379384723
0.309688,0.30779657351843687,0.00040049796422877184,0.0007849760098883928,8252.5,7987.366666666666,1.0,0.3085815495283253
0.312785,0.3104762220378491,0.0006464593324764372,0.0012670602916538167,8378.8,8235.699999999999,1.0,0.3117432823295029
0.315913,0.31433227398530345,0.001171734843244101,0.002296600292758438,9590.9,8740.733333333332,0.95,0.30079743056415875
0.319072,0.3169528413765808,0.0005985031097954365,0.0011730660951990556,8795.5,8921.733333333332,1.0,0.3181259074717799
0.322263,0.3200583682868103,0.0007477971014003945,0.0014656823187447732,8505.0,8963.800000000001,1.05,0.3376002531358328
0.325486,0.32184383854963344,0.002453627029408591,0.004809108977640838,8593.4,8631.300000000001,1.0,0.3266529475272743
0.275971,0.30193964069027857,0.0074983585497081975,0.014696782757428067,9060.6,8719.666666666666,1.0,0.31663642344770665
0.27873,0.29193320713894133,0.005291542064578453,0.010371422446573767,9035.4,8896.466666666667,1.0,0.30230462958551507
0.281518,0.2766724341401881,0.0066535613645720484,0.013040980274561215,9048.0,9048.0,1.0,0.2897134144147493
0.284333,0.2885784911178822,0.0030012780570186077,0.005882504991756471,8820.7,8968.033333333333,1.0,0.29446099610963866
0.287176,0.2917010258978236,0.0029048872833057925,0.005693579075279353,8984.9,8951.199999999999,1.0,0.29739460497310294
0.290048,0.2948407099008436,0.00314166174595196,0.006157657022065842,8366.2,8723.933333333332,1.0,0.30099836692290943
0.292949,0.2973267331737282,0.0028082389926490084,0.005504148425592056,8063.1,8471.4,1.0,0.30283088159932026
0.295878,0.3001942064896755,0.002769991035213382,0.005429182429018228,7936.9,8122.066666666667,1.0,0.30562338891869373
0.298837,0.30271412483834753,0.002926081999816829,0.005735120719640985,8164.1,8054.7,1.0,0.3084492455579885
0.301825,0.3054056823750439,0.0029516258498678036,0.005785186665740895,7962.1,8021.033333333333,1.0,0.3111908690407848
0.304843,0.3074010640334164,0.003347743988808737,0.006561578218065124,8159.1,8095.100000000001,1.0,0.3139626422514815
0.307892,0.31070438781105086,0.0020646697348700254,0.00404675268034525,8075.8,8065.666666666667,1.0,0.31475114049139613
0.299625,0.3057374059561871,0.001990018819562322,0.0039004368863421513,8234.9,8156.600000000001,1.0,0.30963784284252927
0.302622,0.30481785646440357,0.000638548998411442,0.0012515560368864264,8356.1,8222.266666666668,1.0,0.30606941250129
0.305648,0.30058158499076687,0.002674493097339404,0.0052420064707852316,8151.5,8247.5,1.0,0.3058235914615521
0.308704,0.30695811315165344,0.000832626661480937,0.0016319482565026364,8272.7,8260.1,1.0,0.3085900614081561
0.311791,0.3093520713121302,0.0006894573654471549,0.0013513364362764237,7757.6,8060.600000000001,1.0,0.31070340774840666
0.314909,0.3122979841882501,0.0010656656512943068,0.002088704676536841,7992.4,8007.566666666667,1.0,0.31438668886478693
0.318058,0.31539452717969263,0.0010453564389808253,0.0020488986204024178,8212.1,7987.366666666666,1.0,0.31744342580009505
0.321239,0.31848213629555516,0.0008284340076310218,0.0016237306549568026,8386.4,8196.966666666667,1.0,0.32010586695051196
0.324451,0.3205816918421751,0.0014840407036417031,0.002908719779137738,8265.1,8287.866666666667,1.0,0.32349041162131287
0.327696,0.31917437243893804,0.0070190649871323075,0.013757367374779322,8075.8,8242.433333333332,1.0,0.3329317398137174
0.330973,0.32121891598147384,0.008232436143273823,0.01613557484081669,7875.0,8071.966666666667,1.0,0.3373544908222905
0.334283,0.32344618467999336,0.009767137352741775,0.01914358921137388,8181.8,8044.2,1.0,0.34258977389136724
0.283856,0.30945759931512135,0.006826225611711795,0.013379402198955118,8136.4,8064.400000000001,1.0,0.32283700151407646
0.286694,0.297889443483435,0.005525424678414482,0.010829832369692384,8096.6,8138.266666666667,1.0,0.30871927585312736
0.289561,0.2851364274145588,0.007278269048770551,0.01426540733559028,8187.5,8140.166666666667,1.0,0.2994018347501491
0.292457,0.2949497604474632,0.0013207797124708191,0.002588728236442805,8460.2,8248.1,1.0,0.297538488683906
0.295381,0.297714868855438,0.0011670981156713164,0.00228751230671578,8517.0,8388.233333333335,1.0,0.3000023811621538
0.298335,0.30002041194331913,0.0015997675843247533,0.003135544465276516,8483.0,8486.733333333335,1.0,0.30315595640859566
0.301318,0.3028507134970233,0.0011471006801092357,0.002248317333014102,8295.5,8431.833333333334,1.0,0.3050990308300374
0.304332,0.3054921104435718,0.001222629633659417,0.0023963540819724573,8193.2,8323.9,1.0,0.30788846452554425
0.307375,0.30850670145392595,0.001354252805115417,0.0026543354980262173,8136.4,8208.366666666667,1.0,0.3111610369519522
0.310449,0.3117282850111743,0.001226619354245792,0.0024041739343217522,8238.6,8189.400000000001,1.0,0.314132458945496
0.313553,0.31419769879016574,0.0020496010068341056,0.0040172179733948465,8642.0,8339.0,1.0,0.31821491676356056
0.316689,0.31800176031342337,0.0008694136859046878,0.0017040508243731881,8545.5,8475.366666666667,1.0,0.31970581113779656
0.291741,0.30507741280064044,0.0037078052966562675,0.0072672983814462844,7846.6,8344.699999999999,1.05,0.32796194674119106
0.294658,0.29938346225165113,0.0028046854741803373,0.005497183529393461,8113.6,8168.566666666667,1.0,0.30488064578104457
0.297605,0.29264846060311367,0.002956710831796546,0.00579515323032123,7738.6,7899.600000000001,1.0,0.2984436138334349
0.300581,0.300318256624505,0.0007498254352981862,0.001469657853184445,7318.2,7723.466666666667,1.05,0.3168773102015739
0.303586,0.3032815878935049,0.0011475412663123426,0.0022491808819721914,6982.9,7346.566666666667,1.0,0.3055307687754771
0.306622,0.30677336722530174,0.00040620245436871945,0.0007961568105626901,7335.2,7212.099999999999,1.0,0.3075695240358644
0.309688,0.30936825195143486,0.0008255366207894866,0.0016180517767473937,7343.4,7220.5,1.0,0.31098630372818226
0.312785,0.31242520132673623,0.0007234682955693256,0.0014179978593158783,7299.2,7325.933333333333,1.0,0.31384319918605214
0.315913,0.3146458785203159,0.0017218934154834768,0.0033749110943476143,7078.3,7240.3,1.0,0.3180207896146635
0.319072,0.3169983710088909,0.0008753133222427327,0.001715614111595756,6928.0,7101.833333333333,1.0,0.31871398512048665
0.322263,0.32079099199417277,0.0012366250111557815,0.0024237850218653315,6751.3,6919.2,1.0,0.3232147770160381
0.325486,0.3225026000147984,0.002988072028841436,0.005856621176529214,6300.5,6659.933333333333,1.05,0.34477718225089404
