date,year,month,xlpe_demand_tons,polyethylene_price_index,gdp_growth_rate,construction_index,grid_expansion_rate,renewable_capacity_gw
2016-01-31,2016,1,5149.01424590337,107.16524824091361,2.311218892350949,95.57701748927326,3.8720824085192334,21.513977233290703
2016-02-29,2016,2,5248.520709648645,89.66352190380938,3.3378953377996514,102.63410875798579,3.0594595593995746,18.31631106173022
2016-03-31,2016,3,5707.319263322427,110.49134679274886,4.277480918470685,103.60258452416426,2.4235536797424273,22.06178554833322
2016-04-30,2016,4,6076.908956922408,80.59694458746515,4.828632791255182,113.54673774894286,4.248463635867223,23.19708207542233
2016-05-31,2016,5,5522.766689475218,103.25473749062661,1.7395553894163358,103.90605374805993,3.3036492547156966,21.477219912549767
2016-06-30,2016,6,5379.758912915246,120.00576169352355,3.0482481462385773,95.58907589887573,2.652746290402326,24.569807108963897
2016-07-31,2016,7,5713.763844652218,86.52581752543203,2.8475820332585657,105.39573930209643,3.443427115757473,19.435834708282265
2016-08-31,2016,8,5260.230418745873,93.03587061024291,2.590006151139432,95.26757037882643,3.0234519963856052,18.662644268109393
2016-09-30,2016,9,4746.144982327295,102.26578873923994,6.228181360421646,85.41128013929006,5.807141635072565,17.764407477421546
2016-10-31,2016,10,5022.768013075789,94.85140339345905,4.197472566441434,86.59031134223845,5.01663975694945,24.485195504254637
2016-11-30,2016,11,4827.961990264042,85.35355573801847,1.7086740684974324,86.68179067657555,4.142027358683383,22.974472666207287
2016-12-31,2016,12,5050.2810739289225,100.43422437841566,4.986792920582165,93.49561293480569,5.644944138890026,21.72859309874304
2017-01-31,2017,1,5552.588681469811,86.6140194553899,6.80323429551895,108.30749166837141,4.257368307647618,22.57511853251922
2017-02-28,2017,2,5196.01592660266,103.75584467333852,5.17869789082672,98.71667266247924,3.333715798671736,19.941031003714897
2017-03-31,2017,3,5475.53735213831,88.42807089697042,1.3609450510689798,110.27665933032398,5.7331240772696574,27.261761172134555
2017-04-30,2017,4,5931.313741227708,110.84277534403685,2.923648890700623,104.78953701011393,4.763910043684659,22.80837939553797
2017-05-31,2017,5,5769.163365791892,88.32165024767818,5.560366723779934,109.74487049944123,3.202753845673544,22.94984964315099
2017-06-30,2017,6,6024.274199778582,91.65801383905033,2.608495801571829,111.40219402426341,4.064661321916392,24.365171119694622
2017-07-31,2017,7,5447.592777343637,105.89720828697851,4.3457291422193425,109.9008702129611,3.394381746615243,24.0597006339717
2017-08-31,2017,8,5086.308889599412,87.25981238766339,4.851951080144006,87.68468636521249,2.902200269035664,23.73097277720051
2017-09-30,2017,9,5806.681928784246,98.24118970212007,2.3096042926328755,101.93502936478104,5.226177547531641,21.889268508945584
2017-10-31,2017,10,5272.2671098540395,111.71009199355409,3.6207119659073,92.44837896986068,6.224416640470131,24.601668927228207
2017-11-30,2017,11,5467.245759514158,81.58893885681694,-1.1419010101036091,88.72543656873412,2.9314324261808586,27.612810165963456
2017-12-31,2017,12,5242.575544135962,100.63346086464323,2.193418537998565,92.22273577431545,4.907969236690571,26.731156554235984
2018-01-31,2018,1,5796.685182642445,98.615402029272,3.3611477729102592,102.13804034508041,3.709357430878173,27.419783592576806
2018-02-28,2018,2,6283.27677691296,101.40184483320832,1.8783252270527258,116.41750447064022,3.8878746162353037,23.405623810341027
2018-03-31,2018,3,6127.714628665529,81.99191974789153,6.208616955897453,114.26307245219637,3.797606075761131,22.645053750460193
